provinsi_id,kabupaten_id,kepadatan_penduduk,tingkat_pendidikan,tingkat_pengangguran,akses_air_bersih,akses_listrik,fasilitas_kesehatan,jalan_aspal,luas_sawah,pendapatan_perkapita,jenis_wilayah
31,305,19.5732416816026,13.01411691158903,3.717459991247235,74.05965976172972,96.23166875988626,12,86.00250986858765,2101.7629603000814,2705981.8667343915,urban
1,428,6.142656065105607,7.5097533311732665,3.052640799063421,73.01646424484895,88.1312963357648,15,74.23869815581521,5859.394051710548,2016187.8189711054,rural
2,331,217.0663823321885,7.205496368227978,5.269828960993081,82.94987674389438,90.19248451373107,18,85.09512310847789,8691.697750775607,675611.6020813688,rural
17,31,47.495194433649544,9.362478298801436,5.5816397277182315,89.55977990697748,90.0097890496703,17,79.56527284026579,1405.1034263815766,4099417.7765250714,urban
9,288,57.10430984992654,2.6370933604830027,10.150516936020837,92.59971834692189,66.53490643595217,18,86.25601795866267,7987.044779925072,916190.1212069005,urban
10,128,35.98520638221235,4.486207297382745,9.530750135249408,80.31605553598142,91.65005365310819,20,63.77627466270551,330.3516818804696,5425794.992729934,rural
4,473,142.25493051286716,9.26658586074993,2.2450427210192556,93.46099888253319,83.26726722718962,15,59.105073800360366,533.8992994404922,1034296.7455534943,rural
27,14,244.36868135639963,11.215244229519225,3.0858882783911685,86.62085938306025,91.7349774973235,21,72.66982592346064,2907.7683711004006,2005905.1986538116,rural
32,310,658.0722441083751,7.808545119563376,1.775619473503564,89.61102737988303,87.03877993918928,13,59.70449600496109,1223.1595768086977,1089782.2946558928,urban
21,49,287.04016015971547,10.598125427944975,2.7205203415018655,63.59789487133405,90.27211707010501,11,83.3747507992165,885.237188385601,3735517.7509529404,urban
16,277,35.7925841877924,13.174368425584195,1.0615541655389875,93.75668869133574,98.40876241041101,12,35.30241653015788,2212.1794747318077,1691294.3229249688,urban
32,29,117.8534041426001,7.41559880351268,5.324347873138357,64.41287492144654,97.99786505558227,18,67.95064903362463,5332.336558444333,521291.5766653004,rural
24,113,28.52072060548421,7.825675457836189,2.3519979560711013,91.97847110993071,67.9362954081139,10,45.23235940833008,1399.8692556940418,995969.9947669588,rural
21,186,501.8595398086434,13.055714583075943,10.296506667829808,72.19647719854764,89.14111202363846,20,61.18836946213649,5876.071353488616,352539.3636823763,urban
27,484,181.19396387056082,8.58239300008818,3.351705665645956,46.40890716313651,85.71899555432574,23,32.0816937393013,1441.7583322573641,1438669.0580292775,rural
28,49,258.1688692571071,8.79553319497927,8.307411407278668,79.69491191966179,73.85787690121258,12,82.38757704768021,1899.398995479391,1373596.689456392,urban
19,348,151.8314247930076,8.328695405029041,3.296413355794521,58.47877815650973,93.35979952195557,14,51.36926907797472,3382.661838780785,2326853.028870697,urban
4,189,83.06910375641908,5.712295462290697,4.1971687565636415,96.64463814531588,85.26603081341621,17,49.01852084914488,3470.858874778371,5784099.887190897,urban
18,475,290.23764352620736,8.068928918778235,6.271576136888724,96.0325739443866,92.37199643616842,12,65.54390419605485,1523.8303699055098,5465478.817437957,rural
32,343,358.21912777024744,7.73979771972404,6.689020174373118,97.94258759327133,54.534802919966005,22,62.98293938449863,3163.9006593488457,3498390.67037025,urban
21,73,14.316518099659772,8.822020546557527,6.98609508460641,72.3306715940058,72.97495630147608,11,36.359014560475735,1937.3903970128113,1996209.434219929,urban
27,256,541.661260676204,9.769818290299664,3.2780666352119523,67.65106392577121,69.51626510263335,13,73.58842922658624,6510.019028715735,2636860.87040041,urban
26,475,131.04373387822866,8.439888317330093,9.541808162342683,90.19940305672623,90.0693261971189,18,67.1946871021767,7313.365805885513,2600765.4958553626,urban
31,410,509.9171611550077,7.743092254645836,5.3974751925339355,60.734263906114094,83.81826430251738,6,60.97632233396764,3751.4301294336574,2554734.7208222933,urban
16,349,242.34864566255155,14.168241341822409,4.704939776586787,60.427343040663686,78.93357816161254,17,79.75251976706197,9409.725941068382,482790.2411294341,urban
33,75,227.1218159017095,5.912281873570022,12.224047256287808,68.09986100007139,88.94805768024943,16,48.79237082196871,2819.770821172199,1575870.3681301998,urban
29,422,158.60409319841406,5.062864412574623,5.338061481061568,63.27660516426115,90.0994016302034,17,31.358594225020724,7806.606961368152,1285661.2695151796,urban
18,432,793.0662672675984,11.690245635638574,2.7452155921995676,89.21748063273965,41.02157900009866,12,45.957423458031805,11082.803655305837,1299561.8773640383,rural
2,166,135.13809682363677,9.445791263099716,2.4482065324420845,75.60767177621968,79.38567052006492,7,93.26380586307386,25604.387399685584,1336453.6791942236,urban
28,235,972.1107307138534,2.7686772033667992,5.946080817900986,78.58329100988031,87.56358648062897,14,75.99921727068048,403.62147980751365,1582665.858944597,urban
4,205,808.6873207088292,12.67619011253533,4.433386646539229,85.33155313877185,90.49438056089747,19,26.327134524398517,10903.855114823797,770102.4656219764,urban
25,378,36.998629515817115,5.109602576082968,2.8219967801003087,77.64458273212715,56.662533646322736,14,86.30622175802543,1184.6371941367554,1427202.0470456576,rural
6,330,361.2819613086082,11.287318618382908,6.793913192001208,92.46330441367745,97.17846362332754,16,64.41751220464394,6565.2243868653295,597263.0253032135,rural
20,390,11.794946005748065,9.997513421713217,2.5276972131288518,84.71576481602393,93.63578261435197,15,84.8838247022329,10547.32192908831,2172413.758533625,urban
22,300,1647.6506728192508,10.49956190064484,5.480778515761196,60.29526286969972,92.41105052146443,17,75.99593216228197,857.6421892248628,619878.6596677232,rural
15,195,660.8859598411332,9.546897789905277,4.919176270929713,77.04049936980786,87.96151616046414,14,29.616938543111225,3212.87810331071,322197.1217840655,urban
7,316,95.23800467684373,7.979738115447584,3.8300907107085695,72.24619428818893,92.15326279899176,19,41.879405905076474,9908.711660732344,3583300.552924013,rural
18,129,133.78509048518285,9.91508051175864,3.654071985239103,89.64428021936894,72.40716047687576,17,93.06780563196577,5462.825200105002,1739641.6419444534,urban
11,448,1211.5198299129897,9.429143752274706,4.511771385440259,68.1820151321126,61.953247974762085,20,57.52647894258782,4945.762480942781,1372216.766708735,rural
26,161,113.63185581815308,10.95717674236667,3.9514922250856994,90.1601139576238,71.44273800339815,19,46.68479849090173,6432.627801314318,2095666.6914854,urban
23,465,396.97358127769365,9.954842128770931,9.865091358548145,96.05140441845877,97.76603092740793,16,42.30735757951243,13820.300022478285,294744.4678602948,urban
4,376,689.0650571806575,12.450649811044006,5.281922508205504,83.38718208888893,62.350545821141424,12,44.388810921654034,4638.3180756011325,6736345.629666025,urban
2,479,541.9503302070631,8.217194438185178,17.87644175728001,55.172372371548164,96.79136033984119,11,68.98719250123206,1329.4916640027948,718119.460904598,rural
34,493,110.94504771711958,9.917740605718741,2.5980164419667062,71.16206792407193,87.43206829572689,19,47.583850410129465,4169.266826073028,2711866.5635620058,urban
